room,evidence_file,source_type,source
The Jersey Wall: You Are the Curator,JW-01,Full public archive record,https://sitemap.lititzbmx.com/collections/jersey-collection/records/26-0081-fall-risk-racing-mathias-jersey/
The Jersey Wall: You Are the Curator,JW-02,Full public archive record,https://sitemap.lititzbmx.com/collections/jersey-collection/records/26-0080-fall-risk-racing-leary-jersey/
The Jersey Wall: You Are the Curator,JW-02,Full public archive record,https://sitemap.lititzbmx.com/collections/jersey-collection/records/26-0081-fall-risk-racing-mathias-jersey/
The Jersey Wall: You Are the Curator,JW-03,Full public archive record,https://sitemap.lititzbmx.com/collections/jersey-collection/
The Jersey Wall: You Are the Curator,JW-04,Full public archive record,https://sitemap.lititzbmx.com/collections/jersey-collection/
Backstage BMX: The Artists’ Missing BMX Connections,BM-01,Full public archive record,https://sites.google.com/view/lititzbmxinventorylist/in-entertainment/musicians-who-bmx-or-ride/dimebag-darrell-musicians
Backstage BMX: The Artists’ Missing BMX Connections,BM-01,Full public archive record,https://sites.google.com/view/lititzbmxinventorylist/in-entertainment/musicians-who-bmx-or-ride/vin-rock-musicians
Backstage BMX: The Artists’ Missing BMX Connections,BM-01,Full public archive record,https://sites.google.com/view/lititzbmxinventorylist/in-entertainment/musicians-who-bmx-or-ride/meek-mill-musicians
Backstage BMX: The Artists’ Missing BMX Connections,BM-01,Full public archive record,https://sites.google.com/view/lititzbmxinventorylist/in-entertainment/musicians-who-bmx-or-ride/machine-gun-kelly-musicians
Backstage BMX: The Artists’ Missing BMX Connections,BM-02,Full public archive record,https://sites.google.com/view/lititzbmxinventorylist/in-entertainment/musicians-who-bmx-or-ride/machine-gun-kelly-musicians
Backstage BMX: The Artists’ Missing BMX Connections,BM-03,Full public archive record,https://sitemap.lititzbmx.com/in-entertainment/musicians-who-ride-bmx/
Backstage BMX: The Artists’ Missing BMX Connections,BM-04,Full public archive record,https://sitemap.lititzbmx.com/in-entertainment/musicians-who-ride-bmx/
Sugar Cayne: The Bike of the Day Case File,SC-01,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/chapters/01-as-confirmed-by-sugar-cayne-then-buy-me/
Sugar Cayne: The Bike of the Day Case File,SC-01,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/
Sugar Cayne: The Bike of the Day Case File,SC-02,Full public archive record,https://sites.google.com/view/lititzbmxinventorylist/in-entertainment/musicians-who-bmx-or-ride/vin-rock-musicians
Sugar Cayne: The Bike of the Day Case File,SC-03,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/
Sugar Cayne: The Bike of the Day Case File,SC-03,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/chapters/10-keep-rollin-on/
Sugar Cayne: The Bike of the Day Case File,SC-04,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/
Sugar Cayne: The Bike of the Day Case File,SC-04,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/chapters/10-keep-rollin-on/
Sugar Cayne: The Bike of the Day Case File,SC-04,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/afterword/sugar-cayne-bike-of-the-day/
Sugar Cayne: The Bike of the Day Case File,SC-05,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/afterword/sugar-cayne-bike-of-the-day/
Sugar Cayne: The Bike of the Day Case File,SC-05,Full public archive record,https://www.sugarcayne.com/2026/05/2026-huffy-hx-pro-bmx-cruiser/
Sugar Cayne: The Bike of the Day Case File,SC-06,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/afterword/sugar-cayne-bike-of-the-day/
Sugar Cayne: The Bike of the Day Case File,SC-06,Full public archive record,https://sitemap.lititzbmx.com/campaigns/my-huffy-bmx-build/chapters/01-as-confirmed-by-sugar-cayne-then-buy-me/
The Greg Mathias Air Escape Room,GM-01,Full public archive record,https://sitemap.lititzbmx.com/collections/jersey-collection/records/26-0024-greg-mathias-signed-team-usa-jersey/
The Greg Mathias Air Escape Room,GM-02,Full public archive record,https://sitemap.lititzbmx.com/youtube-archive/records/EUTzVetaoLc/
The Greg Mathias Air Escape Room,GM-03,Full public archive record,https://sitemap.lititzbmx.com/youtube-archive/records/EUTzVetaoLc/
The Greg Mathias Air Escape Room,GM-04,Full public archive record,https://sitemap.lititzbmx.com/youtube-archive/records/EUTzVetaoLc/
The Greg Mathias Air Escape Room,GM-05,Full public archive record,https://sitemap.lititzbmx.com/youtube-archive/records/EUTzVetaoLc/
radical-rick,room-overview,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/radical-overview.jpg
radical-rick,figure,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0129-hooligan-bmx-radical-rick-figure.png
radical-rick,premier-issue,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0133-bmx-plus-radical-rick-premier-issue.png
radical-rick,dirtyfest-watercolor,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0001-dirtyfest-3-original-watercolor-painting.png
radical-rick,cru-jones-comparison,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0057-radical-rick-bill-allen-signed-print.png
radical-rick,campaign-post,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/campaign/rebuild-radical-rick-campaign-post.png
radical-rick,physical-display,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/photographs/radical-rick-volume-one-physical-display.jpg
harrys-legacy-toolbox,room-overview,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/harry-overview.jpg
harrys-legacy-toolbox,toolbox,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0046-harry-leary-toolbox.png
harrys-legacy-toolbox,uci-helmet,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0030-harry-leary-2017-uci-worlds-championship-helmet.png
harrys-legacy-toolbox,signed-frame,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0038-harry-leary-specialized-hemi-frame-jeremy-mcgrath-signatures.png
harrys-legacy-toolbox,tangent-beanie,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0064-tangent-beanie-smells-like-harry.png
harrys-legacy-toolbox,damaged-hlt4,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0052-damaged-daylight-hlt4-frame-last-hlt4.png
harrys-legacy-toolbox,physical-room,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/photographs/physical-harrys-room.jpg
jersey-wall,room-overview,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/jersey-overview.jpg
jersey-wall,connor-fields,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Digital-Jersey-Wall-v1.0.0-collection-patch/collections/jersey-collection/assets/wall-cards/26-0019.png
jersey-wall,team-usa,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Digital-Jersey-Wall-v1.0.0-collection-patch/collections/jersey-collection/assets/wall-cards/26-0024.png
jersey-wall,ace-australia,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Digital-Jersey-Wall-v1.0.0-collection-patch/collections/jersey-collection/assets/wall-cards/26-0073.png
jersey-wall,fall-risk-pair,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/jersey-pair.jpg
jersey-wall,finished-wall,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/jersey-overview.jpg
backstage-bmx,room-overview,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/backstage-overview.jpg
backstage-bmx,dimebag,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/05-dimebag-darrell/source/page.png
backstage-bmx,vin-rock,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/02-vin-rock/source/page.png
backstage-bmx,meek-mill,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/14-meek-mill/source/page.png
backstage-bmx,machine-gun-kelly,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/13-machine-gun-kelly/source/page.png
sugar-cayne,completed-bike,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/photographs/completed-bike-fire-hydrant.png
sugar-cayne,inspiration-post,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/facebook/ch01-2026-04-04-sugar-cayne-inspiration.png
sugar-cayne,article-header,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/sugar-cayne/article-page-01-header-and-introduction.png
sugar-cayne,stem-cap,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/facebook/ch06-2026-04-23-stem-cap-installed.png
sugar-cayne,timeline,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/sugar-timeline.jpg
sugar-cayne,publication-audit,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/sugar-publication.jpg
sugar-cayne,full-circle,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/photographs/completed-bike-fire-hydrant.png
greg-mathias-air,room-overview,Local visual derivative from preserved Lititz BMX package,/mnt/data/escape_v140_visual_work/greg-overview.jpg
greg-mathias-air,interview-dossier,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Record-Collection-v1.4.0/record-collection/collections/fireside-bmx-chat/records/fbc-004-greg-mathias-chasing-harry-hof/assets/navigation-thumbnail.png
greg-mathias-air,team-usa-jersey,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Digital-Jersey-Wall-v1.0.0-collection-patch/collections/jersey-collection/assets/wall-cards/26-0024.png
greg-mathias-air,hall-of-fame-title,Local visual derivative from preserved Lititz BMX package,/mnt/data/source_extract/Lititz-BMX-Record-Collection-v1.4.0/record-collection/collections/fireside-bmx-chat/records/fbc-004-greg-mathias-chasing-harry-hof/assets/title-card.png
greg-mathias-air,daylight-roc1,Authentic user-supplied archive visual,/mnt/data/2026-07-28_13-25-08.png
greg-mathias-air,1986-porsche-design-plaque,Authentic user-supplied archive photograph,/mnt/data/591908631_122177932508769050_318237102497648344_n.jpg
